id,titulo,categoria,descripcion
1,Interestelar,Ciencia ficción,"La escasez de recursos obliga a un grupo de astronautas a emprender una misión para encontrar un planeta habitable. Mientras exploran mundos desconocidos deberán enfrentarse a los efectos del tiempo, la distancia y los sacrificios personales."
2,El origen,Ciencia ficción,"Un experto en infiltrarse en los sueños recibe el desafío de implantar una idea en la mente de un empresario. La misión mezcla acción, estrategia y realidades que se vuelven cada vez más difíciles de distinguir."
3,Matrix,Ciencia ficción,"Un programador descubre que el mundo en el que vive es una simulación creada por inteligencias artificiales. Al unirse a la resistencia deberá decidir el destino de la humanidad frente al dominio de las máquinas."
4,Blade Runner 2049,Ciencia ficción,"Un replicante descubre pistas sobre un antiguo secreto que podría alterar el equilibrio entre humanos y androides. Su investigación lo llevará a cuestionar su identidad y el significado de la memoria."
5,Avatar,Ciencia ficción,"Un exmarine participa en un proyecto para explorar un planeta habitado por una civilización única. Con el tiempo deberá elegir entre obedecer las órdenes recibidas o proteger el mundo que ha aprendido a valorar."
6,Forrest Gump,Drama,"Un hombre de gran nobleza atraviesa algunos de los acontecimientos más importantes de la historia reciente mientras enfrenta la vida con optimismo y un profundo amor por las personas que lo rodean."
7,En busca de la felicidad,Drama,"Un padre lucha contra la pobreza mientras intenta ofrecer una vida digna a su pequeño hijo. Su perseverancia demuestra que el esfuerzo y la esperanza pueden abrir nuevas oportunidades."
8,El pianista,Drama,"Un talentoso músico intenta sobrevivir durante la ocupación nazi en Varsovia. La guerra cambia por completo su vida obligándolo a enfrentar el miedo, la pérdida y la soledad."
9,La milla verde,Drama,"Un guardia penitenciario conoce a un prisionero con habilidades extraordinarias que despiertan dudas sobre la justicia, la compasión y la naturaleza del bien y del mal."
10,Cadena perpetua,Drama,"Condenado por un crimen que asegura no haber cometido un hombre encuentra amistad y esperanza dentro de la prisión mientras planea recuperar su libertad."
11,Titanic,Romance,"Dos jóvenes de diferentes clases sociales viven una intensa historia de amor durante el viaje inaugural del Titanic sin imaginar la tragedia que cambiará sus vidas para siempre."
12,Diario de una pasión,Romance,"Una pareja enfrenta las diferencias sociales, el paso del tiempo y las decisiones personales para demostrar que el amor puede perdurar incluso en las circunstancias más difíciles."
13,La La Land,Romance,"Una actriz y un pianista luchan por cumplir sus sueños profesionales mientras intentan mantener viva una relación marcada por las oportunidades y los sacrificios."
14,Antes del amanecer,Romance,"Dos desconocidos se conocen durante un viaje en tren y deciden recorrer una ciudad europea compartiendo conversaciones que transforman la manera en que ven la vida."
15,Orgullo y prejuicio,Romance,"Una joven inteligente desafía las normas sociales de su época mientras aprende a superar prejuicios y descubre sentimientos que cambiarán su futuro."
16,Gladiador,Acción,"Un respetado general romano pierde todo tras una traición y termina luchando como gladiador. Su objetivo será recuperar el honor y vengar a su familia."
17,John Wick,Acción,"Después de sufrir una pérdida personal un antiguo asesino vuelve al mundo criminal decidido a enfrentar a quienes destruyeron la tranquilidad que había conseguido."
18,Mad Max: Furia en el camino,Acción,"En un desierto dominado por la escasez y la violencia un grupo de fugitivos intenta escapar de un líder tiránico en una persecución llena de adrenalina."
19,Misión: Imposible – Fallout,Acción,"Ethan Hunt lidera una peligrosa operación para impedir una catástrofe internacional mientras enfrenta traiciones, decisiones difíciles y riesgos constantes."
20,Avengers: Endgame,Superhéroes,"Los héroes supervivientes unen fuerzas para revertir una devastadora derrota. La misión exigirá sacrificios personales y una estrategia que definirá el futuro del universo."
21,Toy Story,Animación,"Un grupo de juguetes cobra vida cuando los humanos no están presentes. La llegada de un nuevo compañero pondrá a prueba la amistad y la confianza entre ellos."
22,Coco,Animación,"Un niño apasionado por la música viaja al mundo de los muertos para descubrir la historia de su familia y comprender el verdadero valor de los recuerdos."
23,Shrek,Animación,"Un ogro solitario acepta rescatar a una princesa para recuperar la tranquilidad de su hogar encontrando en el camino amistades inesperadas y valiosas lecciones."
24,Intensamente,Animación,"Las emociones que viven dentro de una niña trabajan juntas para ayudarla a adaptarse a importantes cambios familiares mostrando la importancia de aceptar todos los sentimientos."
25,El viaje de Chihiro,Fantasía,"Una niña queda atrapada en un misterioso mundo habitado por espíritus. Para rescatar a sus padres deberá demostrar valentía, inteligencia y generosidad."
26,El conjuro,Terror,"Una familia comienza a experimentar sucesos paranormales en su hogar y solicita ayuda a investigadores especializados para enfrentar una presencia maligna."
27,It,Terror,"Un grupo de niños descubre que un antiguo ser se alimenta de los miedos de sus víctimas. Unidos por la amistad intentarán poner fin a la amenaza."
28,Un lugar en silencio,Terror,"Una familia sobrevive en un mundo donde peligrosas criaturas atacan cualquier sonido. El silencio se convierte en la única forma de mantenerse con vida."
29,El gran hotel Budapest,Comedia,"Un refinado conserje y su joven aprendiz se ven envueltos en un inesperado conflicto relacionado con una valiosa herencia y una serie de acontecimientos extravagantes."
30,Parásitos,Suspenso,"Una familia con escasos recursos encuentra la oportunidad de trabajar para una familia adinerada. Lo que comienza como un plan ingenioso termina revelando profundas diferencias sociales y consecuencias inesperadas."
